Author,Comment,LikeCount,PublishedAt
@liszt9132,Bro learned the boss attack pattern,286811,2024-06-05T07:34:26Z
@lukashofmann3432,"Bro literally said &quot;Nah, I&#39;d adapt.&quot; 💀",150269,2024-06-05T08:20:40Z
@chefaku,now blindfolded while falling with a parachute,58864,2024-06-05T07:24:08Z
@JellowGelo,When he said “I understand it now” he actually understood it.,2006,2024-12-28T17:07:08Z
@eddyeddy2539,Red Bull out here doing side quests we didn’t know existed he’s trying to get 100%completion lmao,19155,2024-06-05T22:10:56Z
@MR.L009,1. Wind prediction<br>2. Turbine prediction,22070,2024-06-09T05:01:49Z
@dreammfyre,That shot where he hit the blade is honestly the win here,13457,2024-06-05T14:07:25Z
@ItoshiSae10_BL,&quot;I understand it now&quot; 🔥🔥🔥🔥🗣️🗣️🗣️🗣️,65,2024-12-30T16:30:58Z
@musicsimp8276,Respect to the guy who put the net there,7684,2024-07-12T18:42:58Z
@SenTHR811,This MIGHT be the least dangerous redbull stunt,9538,2024-06-05T07:41:59Z
@Luvrn_1,Red bull always proves human potential can be greater than we think,3274,2024-07-11T18:15:20Z
@agis_...897,&quot;I understand it now&quot;  bro made a giant meme without knowing it 💀<br><br><br><br><br>Edit: 1K IN TWO DAYS AWW HECK YEA<br>Tysm guys keep on blowing my phone,1504,2024-12-24T11:50:16Z
@RiddleWhisperer,Red Bull is like that jobless Friend on a Tuesday,2427,2024-06-06T20:46:11Z
@CityofJ,That first rejection took me out 😂😂😂,2709,2024-06-05T18:42:51Z
@ijj45,The safest Redbull short in this planet,1892,2024-06-09T09:27:15Z
@Teguemy,Redbull has all the best athletes in the world.,2,2024-12-23T00:54:48Z
@AviationOfSG,1980: Man and Turbine <br>2024: Man vs Turbine,3267,2024-06-12T03:41:01Z
@josiahscarrmusic6750,The turbine must&#39;ve been drinking redbull cause it has wings,3098,2024-06-10T10:00:22Z
@munch7203,my man learned the wind turbine pattern in a matter of seconds. he&#39;s an anime character,2249,2024-06-05T23:55:26Z
@leonhenry4861,"100 years from now, nobody will ever know Red bull made an energy drink 😂",4,2025-01-02T19:34:17Z
@angyboi7969,Imagine walking along the street in a town near these turbines and suddenly you get hit in the head with a rogue basketball lol,3478,2024-06-23T01:15:11Z
@statusDzn,Whoever put the basket up there is the real main character,3036,2024-06-16T04:30:49Z
@firevenger7380,Redbull:sometimes we make drinks also,2344,2024-06-14T04:10:23Z
@Teal1989swiftie,That wink was everything 😂,1,2025-01-01T18:04:07Z
@blockitou,The turbine beating the ball is more satisfatory than the trick shot 💀,2937,2024-06-15T21:22:49Z
@cheetos2451,"If he dunks, I&#39;ll believe it&#39;s a Red Bull add",1448,2024-06-12T09:03:22Z
@shenakitt5349,“I understand it now” is the worst thing to hear in a 1v1 with him💀💀,2965,2024-11-11T20:00:22Z
@AryanArya-xp2rc,2006: Man vs Wild💀<br>2024: Man vs Turbine☠️,4,2024-12-30T16:35:04Z
@nonuts111,plot twist: he only had one ball,3282,2024-06-17T16:58:32Z
@wolveshield,"I feel like the pressure of the entire world was riding on the shot after he said, “I understand it now” 😂",1954,2024-06-08T10:37:13Z
@M4NZY,respect to the guys who put this basket there,259,2024-06-10T07:25:33Z
@floobuoy7720,Respect the man casually going on a walk and getting hit by a basketball going 500mph,6,2024-12-29T01:54:36Z
@CrH_1993,The ball going into space was more satisfying 😂,1875,2024-06-16T13:03:07Z
@ArcheryXStar,The man that got hit by a basketball in the head going 89273km per hour be like,4270,2024-06-11T17:06:33Z
@XLTLMusic,"i love how redbull is 2 things: <br>1 - A man literally jumping over a 300 foot deep valley on a bike, going to fall 300 feet at any slight mistake<br>2 - a guy throwing basketballs at a wind turbine",1112,2024-06-17T23:57:39Z
@PEANUHTBUHTTAJEYLLY,Other Companies: This product could bring people together<br>Redbull: Man VS. Wind Turbine,1,2025-01-26T01:21:28Z
@john.bui137,“i understand it now” went kinda hard lol,1028,2024-06-08T22:35:41Z
@Jay-dm8fd,“ I understand it now” 😭,4036,2024-12-07T13:03:14Z
@okayokay9569,Bro adapted to survive 💀,2762,2024-06-15T01:57:15Z
@Zackarria688,That basketball left the atmosphere.,2,2025-02-18T21:34:20Z
@hmmok5791,Wind turbine owner: who let that guy up there?,2771,2024-06-20T00:23:37Z
@didilofi,&quot;I understand it now. It&#39;s easy now&quot;-- probably one anime villain somewhere,548,2024-06-05T08:04:01Z
@maineprimal7665,That second turbine slap gave him a training and powerup arc 😂,1287,2024-06-09T20:01:52Z
@spasebar,Saying &quot;I understand it now&quot; while actually understanding it is such an epic flex,1,2025-01-11T22:02:48Z
@LibiaDuran.1,Imagine your on a walk and a basketball attacks you out of nowhere 💀,2031,2024-06-26T04:30:25Z
@aayushsinjon19,Red bull is full of all my 3 am intrusive thoughts 😂😂,746,2024-06-05T15:35:20Z
@FUW-guy,&quot;I understand it now&quot; such a raw line lol.,989,2024-07-25T01:42:18Z
@Zerino-to-amil,HE SAID THE THING!!!!,1,2025-01-01T09:14:32Z
@Dreamsio,Bro wasn&#39;t bluffing about it 🌝<br>&quot;it&#39;s easy now&quot;,528,2024-06-05T15:53:57Z
