Author,Comment,LikeCount,PublishedAt
@Waysale,dude perfect finally has a rival 💀💀,107083,2024-07-31T07:18:12Z
@vEverRunFoxWT,That scream was <b>genuine</b>,57969,2024-07-31T07:02:45Z
@popcatpiu,Nike: Just do it <br>Redbull: We did it,14747,2024-08-01T20:37:53Z
@i_make_beats,redbull the drink: ❌️<br>redbull the youtube channel: ✅️,165,2024-12-29T03:45:02Z
@fishstick699,Making red bull is now just a side quest😂,13306,2024-07-31T13:35:11Z
@maliquesl9888,“How many records have you broken?”<br>Red bull: “all of them”,2643,2024-07-31T20:41:52Z
@lalarta,I love Redbull&#39;s sassy replies to comments😂,8505,2024-07-31T07:22:44Z
@hazmat_botw,&quot;I understand it now&quot; ahh shots 😭🙏💀,654,2024-12-26T14:45:17Z
@m1br052,In a moving boat:❌️<br>In a moving boat onto a guy holding a hoop riding a jet pack:✅️,3911,2024-08-04T20:02:34Z
@BartunGD,"Remember, Redbull also makes energy drinks",3350,2024-08-03T17:19:11Z
@gameshehe,"Okay, I&#39;m certain redbull makes drinks as a side hustle now",1960,2024-10-07T20:43:37Z
@Chris_is_goat,Red Bull gave the ball wings😂😂,8,2025-03-09T12:50:10Z
@leoare1276,I understand it now🗣️🗣️,2617,2024-11-11T12:11:39Z
@Goated_JordanWest,“I understand it now” 😂,1844,2024-12-04T17:10:22Z
@theyellowlemon2,Red Bull promoting everything but their drink is crazy,916,2024-08-08T19:10:13Z
@shahrilasrinattershah8000,Tgat prefecf fit on the mini hoop part was 🌟🌠satisfying🌠🌟,6,2025-01-24T13:53:25Z
@ArlineLorzano,this might be the first guy hired by redbull who didn&#39;t risk his life 😂,871,2024-08-05T09:25:02Z
@chair_commenting,I think bro understands it now,623,2024-11-18T18:19:48Z
@williamphillips2026,The dude holding the basket with the jet pack was extra asf 😂,1293,2024-09-01T09:57:12Z
@ZenlieyenrieBarcelona,Red bull do the most random things and still be called &quot;just a energy drink&quot;💀,432,2024-08-01T08:40:08Z
@_setbes,Redbull is def the most badass company when it comes to making content,269,2024-10-08T12:11:26Z
@flexingkick,He understands it now.,282,2024-12-08T15:26:51Z
@netherite9051,Red bull : we do so much you wouldnt believe what weve done.<br>Also red bull : drink that give you wings,1,2025-02-01T17:07:04Z
@jwshca8895,The shot❌<br><br>The dude who put up the hoop✅😮,140,2024-09-10T03:23:12Z
@Cosevac,This guy has to have built in aimbot…,647,2024-07-31T07:06:15Z
@dagx0102,I lowkey forgot redbull was an energy drink company 😭,315,2024-08-01T01:52:10Z
@ZakaryaOthman-t7x,Ahhhhhhhhhhhhhhhhhhhhhhhhhh lets gooooooooooooo that was so funny😂😂😂😂,5,2025-02-05T06:29:28Z
@chunfukicker,Redbull doing anything but showing their drinks,201,2024-07-31T11:21:07Z
@tylerberry5508,The earliest I&#39;ve ever been on a redbulls video wooo,118,2024-07-31T11:09:25Z
@kierantacion9944,red bull always pushing out W vids,118,2024-07-31T07:07:08Z
@Ayushart44445,It was possible because Red Bull gives you wings❤❤,1,2025-01-19T09:31:42Z
@NotAbastract,Red Bull is officially the most successful social experiment in the world,47,2024-07-31T09:28:30Z
@Ghostofchristmaspresent,&quot;I understand it now&quot; type shots 💀💀💀,108,2024-11-10T16:13:58Z
@RayanmehdiRayanmehdi,Bro never misses a single shot,59,2024-12-15T08:53:43Z
@RăzvanPopescu-b3p,Redbull give you wings❌<br>Redbull give you power❌<br>Redbull give you talent✅,11,2024-12-04T14:22:03Z
@seymourbuttz6419,Truthfully the laydown shot is the most impressive because of the amount of power it takes,52,2024-09-15T21:44:19Z
@paranixan,chainsaw rim got jigsaw taking notes LMAO,88,2024-08-03T18:23:06Z
@halbin_sb,redbull gives you wings 😂,1,2025-01-20T06:52:37Z
@Abowns56,I think RedBull themselves forget they make energy drinks 💀,80,2024-08-03T22:03:40Z
@Moai_YT1233,Redbull gives you wings:  👎<br><br><br>Redbull gives you basketball skills: 👍,124,2024-10-27T06:10:05Z
@JohnSmith-yn9ju,A hoop on a turbine is crazy,48,2024-09-23T03:37:35Z
@DhevanNegi,Bro&#39;s the next Le Bron😅,1,2024-12-30T12:04:46Z
@reesesj4709,Hitting a shot laying down from half court is next level strength,21,2024-08-04T15:28:35Z
@hmmok5791,When your NBA tryout doesnt pan out and you bump into a Redbull rep in the hallway,54,2024-08-01T19:04:49Z
@DanielMarshall-w8x,The mini hoop was crazy ☠️,34,2024-10-15T00:32:25Z
@Null-X303,"«ÆÆÆÆÆÆÆÆÆÆ, lEt&#39;S gOu»💀💀",1,2025-01-04T08:10:45Z
@Me_tm7,"Everyone: talking abt redbull&#39;s craziness <br>Me: how is this guy not in the NBA??<br><br>Edit: GUYS IT&#39;S A JOKE, IK IT&#39;S HARD TO GET IN THE NBA, GOSH",318,2024-10-18T05:52:51Z
@gluudude,Redbull is that one friend on a tuesday afternoon,17,2024-08-12T20:30:54Z
@cgboy6937,No basketballs we’re harmed in the making of this video,16,2024-08-05T16:51:28Z
@Lenakokolonik,✨rEdBuLl dOdA cI sKrZyDeŁ✨,0,2025-01-20T08:52:07Z
