Author,Comment,LikeCount,PublishedAt
@tical5680,bro fell into art world...,9472,2022-12-18T04:18:11Z
@McFLYyt,Cameraman Needs To Be Fired...He Never Helps Zach 😂,3211,2023-05-18T19:21:21Z
@dennydanmemes-roblox4516,How many times have you watched this<br><br>Me: Yes,2667,2022-07-02T08:31:01Z
@Ha3G1MING,The back room entities: 👁️👄👁️,258,2023-06-04T22:06:39Z
@elemento9766,Bro went to the backrooms💀,2823,2023-03-12T09:59:21Z
@dracostanevil1771,Wow we need a behind to scenes on this one! Absolutely incredible,5111,2021-08-30T14:47:02Z
@68booger,"fun fact: right before he falls, you can hear someone say in the background: “this is my favorite p*ssy”",155,2023-09-04T16:41:38Z
@Rajikulassamiya003,"He doesn&#39;t need breath air, air enters in his Lungs to pay respect 😂😅😅😅😅😅😅",1,2023-05-11T03:24:23Z
@imaguyandabeautifulbutterfly,"Amazing editing, pretty satisfying tbh",5,2021-06-28T03:35:50Z
@ihatevendingmachines2966,Street artist doesn’t even look back. <br><br><b>He knows what he’s done…</b>,2986,2021-07-25T19:47:21Z
@D144AU,I like how everyone around them doesn’t even seem to notice,448,2021-06-20T17:12:41Z
@esetarobale5327,You could say he FELL for it,26,2023-06-09T14:58:49Z
@gamelover2477,He never fails to impress!! 💯❤️,103,2021-08-11T14:20:30Z
@Matthew_Klepadlo,"See, YouTube! THESE are the kinds of shorts we want, not stupid crap.",897,2021-07-27T11:00:49Z
@tharun526,We need behind the scenes of this,230,2021-06-20T13:34:49Z
@jjblack1241,I don’t know how he edits these<br><br><br>But it’s awesome,3,2023-11-23T03:36:56Z
@Jeon_Aliza,You&#39;re the best editor... ✌️👍<br>I&#39;ll Support you... 😎💜,4,2021-07-23T13:49:37Z
@nikhilhp5257,We want  behind the scenes of this video 🤯🤯🤯🤯,7,2021-06-20T15:12:11Z
@scrambledeggz847,Your videos always brighten my day! 🖤,4,2022-01-05T15:01:44Z
@natividadgimenez347,Que lindo es ❤❤❤❤😊,2,2023-05-19T16:19:20Z
@carloscarls7818,We need the behind the scenes,436,2021-07-18T01:34:55Z
@CentralAssassin,That&#39;s crazy!,5621,2021-06-20T13:46:07Z
@Arik_AMV,"They even edited his shadow, so cool",45,2021-08-20T11:59:52Z
@CrazyDavey23,plot twist : the artist is being paid by zack so he could break up with his girlfriend without even talking,240,2023-06-02T05:47:13Z
@classyrebel2939,That&#39;s some awesome editing,23,2022-01-01T20:19:50Z
@JeromeLanglois-n1x,"Bro don’t need an Oscar, an Oscar needs him",93,2023-05-14T20:18:19Z
@jolomiblessed1117,This is most definitely the cleanest transition I have ever seen,152,2021-12-24T23:58:08Z
@EJS559,"Rip Zach, the most wonderful person and explores new things😢",0,2023-07-10T22:29:05Z
@sravanip7947,The painting is really awesome<br>Doing this requires a lot of patience and hard work. <br>I appreciate her  and their co - workers who helped to finish the wonderful art... <br>👏👏👏 really superb 👌👌,134,2021-06-28T16:23:51Z
@ATR-pc3sz,Painter: <b>gets interrupted</b><br>Also Painter: let me do it again,124,2021-06-20T16:26:24Z
@kamshairandbeauty4497,We need a part 2 to this this is a masterpiece,11,2023-05-31T01:28:30Z
@muthuvijayanthangavelan7151,Super drawing ❤,0,2024-04-03T04:08:21Z
@nadnerb2k,SO GOOD<br>The attention to detail on this one is epic. Well done.,11,2021-06-20T21:47:13Z
@Jennie21-o6n,How you do that things . So amazing 🤩🤩,25,2022-06-28T16:17:14Z
@minoulover,The editing is so good!,4,2021-08-21T01:05:01Z
@JJasim07,Me thinking it&#39;s a normal steet art video <br>Realizing Zach king showed up: here we go 🙄,1,2023-11-01T19:22:28Z
@joneday4675,THIS VIDEO IS SO REALISTIC!!!,49,2021-12-16T18:48:59Z
@ekamlidhar2103,Really realistic and was not expecting that,104,2022-01-06T00:04:38Z
@VGAOTigerGirl,Oh my god this is so smooth!!!,15,2021-06-27T04:26:39Z
@enderkrack95here32,The people posing in the back😂,1,2024-11-04T15:32:33Z
@ChefCatHere,I’m generally confused on how he did that...,86,2022-01-11T17:33:32Z
@vishalb6571,I dont know why these type of creativity skilled videos has so many dislikes,34,2021-10-27T16:45:21Z
@ayanaxgoofy,This is a incredible masterpiece! 🤩 can you do a behind the scenes on this one?,25,2022-06-20T15:06:11Z
@Yass.sba3,Good Job @zachking keep going ❤ goodluck brother ❤❤❤,1,2023-12-22T11:04:47Z
@Ofelipecastrik,what an incredible realistic design and i also liked the effect of it falling,166,2022-01-01T20:12:58Z
@sonalb5505,Perfect timings !! And that was pretty smooth,5,2021-06-20T16:04:40Z
@ahmedstudios3680,It’s crazy how people do this amazing art! 👌🏾,245,2022-01-06T21:50:09Z
@Ellie29114,100/10<br>So cool I love it and the detail-I LOVE IT! ❤,0,2024-02-07T15:55:18Z
@Jeon_Aliza,I like this type of drawings... 💜💜💜,6,2021-07-23T13:47:37Z
@itspoet9064,That&#39;s so cool and crazy I love the effect of it falling!!!!,5,2022-01-03T14:51:13Z
