Author,Comment,LikeCount,PublishedAt
@ENGEL_E_XD,That&#39;s thinking vs guessing,124892,2024-02-24T21:51:11Z
@mafia7947,The girl had a strategy<br>The dude was just guessing💀,94316,2024-02-27T19:35:21Z
@davidheaney4430,The saying: &#39;empty vessels make the most noise&#39; comes to mind!,591,2024-05-09T21:45:19Z
@UGOkilleth,Bro has a memory of a half eaten goat,13609,2024-02-28T23:21:59Z
@Atlas-tv9jb,Sometimes the loudest talkers have the quietest minds 😅,20713,2024-04-04T09:00:35Z
@TheTamingOfTheShrew,The little grin she does when she&#39;s looking at her cups while he is saying &quot;What if it&#39;s these?&quot;. She had rationalized out the logical solution and new she was about to win but politely waited her turn.,1090,2024-05-01T22:51:13Z
@tomtwo8412,You can see the moment she realised she has one move left. 😂,9162,2024-02-29T02:07:09Z
@sintaksist,The guy was just switching more than 2 cups and expecting a miracle. Keep going dude,3268,2024-03-03T08:36:58Z
@SuidicalRaccoon,Girl had such a good strategy.,10,2024-05-02T08:15:40Z
@noeljimenez7624,She had a simple and effective strategy of only moving two cups at a time. Dude moved too many and couldn’t remember which ones went where.,2883,2024-04-18T06:24:37Z
@ozzyc5122,He&#39;s like an actual cartoon character,4595,2024-04-27T07:30:35Z
@sharlafelton1992,My professor literally trained me not to think out loud.  He said Ill talk myself straight out of being correct by doing that.  He was so right.,105,2024-04-29T04:02:16Z
@whiskeredshrimp,she’s def the smarter one,5716,2024-02-26T01:36:28Z
@kithric4878,she had a smart system!<br><br>Edit: for your wellbeing don&#39;t read the comments to this. It&#39;s a whole war down there somehow 😬,21759,2024-02-24T08:10:09Z
@pixiefulani,At the beginning their set ups were mirrored. Makes me think it was planned lol but also taught me a strategy to playing this,24,2024-05-08T00:28:53Z
@chaloemphonglee7573,She announced a smile of victory even before the game was over.🔥🔥🔥,3919,2024-04-11T08:07:33Z
@XiRevsGD,This is literally mastermind.,3632,2024-02-24T16:09:04Z
@cloudk1073,The dude : 🗣🗣📣📣<br>The chick : 😶,7,2024-05-14T14:54:19Z
@girlwiththeblueglasses8284,Bro graduated with first class honours in yapping 💀,4003,2024-03-11T00:16:28Z
@Dontmindme-r4d,I like how she patiently waited even though it was killing her bc she knew she had it,4952,2024-03-15T22:19:36Z
@ScarredCore1,"I am actually speechless, this guy is what I imagine Goofy would be like irl",7,2024-05-21T10:21:55Z
@tofusuns896,"She was smart to just move 2 cups at that 2nd round, it made it easier to guess",49,2024-04-13T07:09:34Z
@callumlaird6736,Purple?,340,2024-02-25T13:05:53Z
@jdestrada6281,Why does everyone seem so nice lol that “oh frick” got me 😂,2,2024-05-01T14:29:27Z
@captaincman3513,I love how smart she was about it and the look on her face when she realized she had it on her next turn,1162,2024-02-27T03:29:34Z
@nicolebwill,&quot;Men are more logical....women are emotional&quot; 😂,1571,2024-04-27T17:39:06Z
@Tünde_eszescser,Purple💜 is pink?💗,2,2024-05-24T13:52:09Z
@kiLo217_,Real ones remember mastermind 💯,197,2024-03-27T08:26:25Z
@sonjaeichhorn5445,I can see the eye flinch from the artists when she said purple in her first sentence 😃,418,2024-04-02T12:46:56Z
@Sejal_118,Bro after every turn 🙌🏻,1,2024-09-01T06:34:36Z
@Ryan-wj7yq,One blindly guessed and one used math. Statistics are statistics for a reason.,318,2024-02-27T01:42:55Z
@almus7299,Man : The one who hype the group<br>Woman : The one who does the thinking,61,2024-03-01T15:17:29Z
@peculiarchris5510,Her memory ❤❤is awesome she was calculative knowing when the score changes with what action ❤,2,2024-05-08T14:44:53Z
@Tylercyrus200,I loved her face after she figured it out 😂,35,2024-04-04T23:47:30Z
@frankievalentine6112,This is how you play mastermind.,294,2024-04-26T12:53:18Z
@Syeona,this looks like fun ^W^,1,2024-05-14T16:57:43Z
@Crazywave89_Gd,Purple? That&#39;s clearly pink,657,2024-02-24T09:43:42Z
@cfa345,I love how she&#39;s so systematic 👍🏽<br>He&#39;s going for pure luck 😆,17,2024-04-14T16:45:45Z
@xhelan131,Such a fun and wholesome game.,5,2024-05-08T18:15:09Z
@cooperelliott8165,more of these please!! love this! new subscriber earned!!,67,2024-02-25T06:00:02Z
@Travis_20098,"This actually looks fun, i think I&#39;m gonna try it",9,2024-04-05T21:13:26Z
@EverytingAllAtOnce,“Oh I have one? Lemme just move every single cup around except one on my next turn cus that should help me figure out which one it is” GENIUS,6,2024-04-27T21:14:15Z
@HazelnutDude,This Channel Is So Underrated,31,2024-02-24T13:02:49Z
@LiterallyLike,“Oh… yes!!” He turned into Mickey Mouse 😭,2,2024-05-08T05:54:45Z
@violetviolet888,Classic <b>Mastermind</b> game in cup form.,3,2024-05-06T17:29:46Z
@davids2839,Like how they both pull their arms back when they finish moving the cups in anticipation 😂,6,2024-04-03T06:39:20Z
@AnaRoblox60,Love the long video Micheal ❤,0,2024-09-15T18:26:13Z
@mistervic2r,He reminds me of that one obnoxious and oblivious co-worker we all have 😅,3,2024-05-05T06:42:25Z
@rje1293,MANS GOT A DEGREE FROM YAP UNIVERSITY 🗣️🗣️🗣️,5,2024-03-10T21:56:10Z
@Ekstese,Looks fun af. Will have to do this with the kids.,1,2024-05-10T02:41:17Z
